[2020-11-07 15:26:39] [INFO]: 收到来自群 从零开始的BCR生活(110748466) 内 LT1zim(415750127) 的临时会话消息: 登录 
[2020-11-07 17:59:20] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 端木府(1169947911) 的消息: 这回露娜塔应该没有克总吧，工会战克总会出不 (50184) 
[2020-11-07 18:01:17] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 混低保(1084085263) 的消息: 会战出就太难受了 (50185) 
[2020-11-07 18:01:20] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 混低保(1084085263) 的消息: /沧桑 (50186) 
[2020-11-07 20:19:54] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 端木府(1169947911) 的消息: 还不知道会不会开专，太难了，YLS碎片够四星之后要先存着吧? (50187) 
[2020-11-07 21:57:50] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 凯林阿姆洛斯(1003870549) 的消息: yls是第二批专武吧？ (50188) 
[2020-11-07 21:58:08] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 撕破伤口丶(2271180174) 的消息: 是 (50189) 
[2020-11-07 21:58:29] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 撕破伤口丶(2271180174) 的消息: 但好像没说要开放新的专武 (50190) 
[2020-11-07 21:59:41] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 K.k(2535940194) 的消息: 确实 (50191) 
[2020-11-07 21:59:57] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 K.k(2535940194) 的消息: 之前好像听说就第一批专武提前 (50192) 
[2020-11-07 22:00:12] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 K.k(2535940194) 的消息: 之后的还是按原来进度开( (50193) 
[2020-11-07 22:00:16] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 K.k(2535940194) 的消息: [CQ:image,file=1e4192088b4d3292d873448a57ad9aa3.image] (50194) 
[2020-11-07 22:00:22] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 撕破伤口丶(2271180174) 的消息: 可能是这次会战结束后开放第二批 (50195) 
[2020-11-07 22:00:26] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 撕破伤口丶(2271180174) 的消息: [CQ:image,file=c421df8e8203397f5e0dc8110e95b86e.image] (50196) 
[2020-11-07 22:00:45] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 撕破伤口丶(2271180174) 的消息: 按两个月一次的话 (50197) 
[2020-11-07 22:45:34] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 混低保(1084085263) 的消息: [CQ:forward,id=ynwFF3pMqU39T20pV41BuIbvvKzGjxu87Xrcxt4/SaOoeH+48PBGH1lP20mWlU3Q] (50198) 
[2020-11-07 22:46:48] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 夜的第七章(1372207650) 的消息: 万物皆可卷 (50199) 
[2020-11-07 22:47:21] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 混低保(1084085263) 的消息: [CQ:image,file=54a0d357f32548e72a46476d14e8fb18.image] (50200) 
[2020-11-07 22:51:49] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 八重丶柒染(459488087) 的消息: [CQ:image,file=60ce62d153d65f83faf16fb54dfba3be.image] (50201) 
[2020-11-07 22:51:55] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 八重丶柒染(459488087) 的消息: 隔壁群刚看过 (50202) 
[2020-11-07 22:52:02] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 混低保(1084085263) 的消息: [CQ:image,file=708fbb971ea388b23c3c561eb5b89e84.image] (50203) 
[2020-11-07 23:07:37] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 空门苍(1320345334) 的消息: md (50204) 
[2020-11-07 23:07:41] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 空门苍(1320345334) 的消息: 后续呢 (50205) 
[2020-11-07 23:08:35] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 混低保(1084085263) 的消息: [CQ:image,file=54a0d357f32548e72a46476d14e8fb18.image] (50206) 
[2020-11-07 23:08:39] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 混低保(1084085263) 的消息: 自己找去 (50207) 
[2020-11-07 23:08:55] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 空门苍(1320345334) 的消息: 阿西吧 (50208) 
[2020-11-07 23:20:44] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 凯林阿姆洛斯(1003870549) 的消息: 我们楼下一个女生提取RNA的时候把trizol洒到自己腿上了 (50209) 
[2020-11-07 23:22:04] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 夜的第七章(1372207650) 的消息: 还能活吗 (50210) 
[2020-11-07 23:22:07] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 撕破伤口丶(2271180174) 的消息: 希望人没事 (50211) 
[2020-11-07 23:26:13] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 凯林阿姆洛斯(1003870549) 的消息: 要随时去医院复诊 (50212) 
[2020-11-07 23:26:43] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 凯林阿姆洛斯(1003870549) 的消息: 是一种让蛋白质变性的试剂 (50213) 
[2020-11-07 23:27:19] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 撕破伤口丶(2271180174) 的消息: 直接撒到皮肤上了吗 (50214) 
[2020-11-07 23:27:57] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 ArthorLeng(820858636) 的消息: 把皮肤烧坏了吧。 (50215) 
[2020-11-07 23:30:07] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 凯林阿姆洛斯(1003870549) 的消息: 洒了一瓶 (50216) 
[2020-11-07 23:30:12] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 凯林阿姆洛斯(1003870549) 的消息: 透了裤子 (50217) 
[2020-11-07 23:30:27] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 凯林阿姆洛斯(1003870549) 的消息: 我也没洒过啊，不知道啥样的 (50218) 
[2020-11-07 23:30:53] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 ArthorLeng(820858636) 的消息: 应该就是烧坏了。 (50219) 
[2020-11-07 23:30:55] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 凯林阿姆洛斯(1003870549) 的消息: 我记得以前本科有人好像手碰过硫酸？黑了 (50220) 
[2020-11-07 23:31:16] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 ArthorLeng(820858636) 的消息: [CQ:image,file=954227c3f4501c61b7128a3c58fd205f.image] (50221) 
[2020-11-07 23:31:34] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 撕破伤口丶(2271180174) 的消息: 我碰到过盐酸 (50222) 
[2020-11-07 23:31:37] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 撕破伤口丶(2271180174) 的消息: [CQ:image,file=79df0fad187c04a870616e11c9186a88.image] (50223) 
[2020-11-07 23:31:51] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 ArthorLeng(820858636) 的消息: [CQ:image,file=a637d4133ca26d3d2619f316a07af785.image] (50224) 
[2020-11-07 23:31:53] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 凯林阿姆洛斯(1003870549) 的消息: 我T恤下摆嘣到过 (50225) 
[2020-11-07 23:32:02] [INFO]: 收到群 从零开始的BCR生活(110748466) 内 凯林阿姆洛斯(1003870549) 的消息: 烧出了小洞 (50226) 
